category,map,problem_id,w,reexpansion,opened,closed,expanded,reopened,path_length,dist,expected_dist,correct,time
bgmaps,AR0529SR.map,327697,1.2,True,124,43,285,0,26,30.798989873223338,29.97056274,False,0.00018052699997497256
bgmaps,AR0505SR.map,353848,2.0,True,3616,1684,12067,1120,97,122.92388155425107,122.92388153,True,0.007096155999897746
random,random512-10-3.map,746092,3.0,True,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.0033703682000123083
street,NewYork_0_512.map,83366,1.2,False,3014,1007,7652,0,372,476.624458405141,474.13917694,False,0.005534333600007812
sc1,EbonLakes.map,519726,1.2,False,97778,50958,394462,0,555,677.4356415871853,677.43564148,True,0.21186263299987332
street,London_2_256.map,178997,2.0,True,74,23,184,0,24,23.0,23.0,True,0.0001372031998471357
maze,maze512-1-3.map,1045672,1.1,False,722,718,1439,0,248,247.0,247.0,True,0.0016778285998952924
random,random512-15-0.map,771308,1.0,True,4361,2497,14807,91,161,175.32590180780466,175.32590179,True,0.007730215399897133
sc1,EbonLakes.map,519726,1.05,False,99241,53186,411743,0,555,677.4356415871853,677.43564148,True,0.23130972559993096
sc1,IceFloes.map,525488,1.0,True,79054,39913,304153,1055,497,600.7960312803951,600.79603119,True,0.17637486219991844
bgmaps,AR0013SR.map,348042,2.0,True,142,57,344,2,38,43.62741699796952,42.79898987,False,0.0002219634001448867
street,Boston_0_256.map,81872,1.0,True,24834,13732,100299,516,215,259.14927829866775,259.14927826,True,0.05024168620002456
random,random512-15-0.map,771308,1.5,True,520,190,1112,0,163,185.6101730552665,175.32590179,False,0.0012131296000006842
bgmaps,AR0505SR.map,353848,10.0,True,16107,12843,89978,11660,150,192.9066376115483,122.92388153,False,0.0731067651999183
bgmaps,AR0013SR.map,348042,2.0,False,140,55,334,0,38,43.62741699796952,42.79898987,False,0.00021597239992843242
random,random512-10-0.map,792765,100.0,False,1631,488,3099,0,472,574.9676041556489,534.18080749,False,0.0031167483999524847
maze,maze512-8-6.map,1192401,5.0,True,373830,313446,2271339,272464,1329,1562.8590898655505,1543.60425567,False,0.6112835851999989
street,NewYork_0_512.map,83366,3.0,False,1735,450,3164,0,383,510.40620433566187,474.13917694,False,0.006136680000054184
random,random512-10-3.map,746092,1.5,False,1389,386,2535,0,363,452.71277015970946,448.02647857,False,0.005526162200112594
bgmaps,AR0013SR.map,348042,1.5,False,152,64,384,0,38,42.798989873223334,42.79898987,True,0.00018730339998001
street,London_2_256.map,178997,1.2,True,74,23,184,0,24,23.0,23.0,True,0.00013109179999446497
random,random512-10-0.map,792765,1.1,False,1885,594,3946,0,436,540.6244584051415,534.18080749,False,0.0030669746000057787
maze,maze512-8-6.map,1192401,2.0,True,161034,107528,779508,64019,1323,1549.4032457428345,1543.60425567,False,0.33277942320000875
street,Boston_0_256.map,81872,100.0,False,2808,1479,10302,0,248,326.5290039756354,259.14927826,False,0.005918851999922481
maze,maze512-1-3.map,1045672,2.0,True,502,498,999,0,248,247.0,247.0,True,0.004475089399966237
sc1,IceFloes.map,525488,1.05,True,88215,46069,351992,8004,497,600.7960312803951,600.79603119,True,0.17611238279987446
street,Boston_0_256.map,81872,1.1,False,23042,12516,91407,0,215,260.8061325481603,259.14927826,False,0.051129533399944194
random,random512-10-0.map,792765,5.0,True,1645,480,3098,0,460,567.10973977938,534.18080749,False,0.005848009399960575
sc1,Elderlands.map,537867,1.2,True,4833,1855,13869,76,712,893.668181006539,887.18289947,False,0.015261771000041335
street,Boston_0_256.map,81872,1.5,False,20091,10079,73343,0,215,269.0904037956223,259.14927826,False,0.03772525820004376
street,NewYork_0_512.map,83366,1.0,True,85204,44396,352602,23150,372,474.1391770309024,474.13917694,True,0.15818021159993806
random,random512-10-3.map,746092,3.0,False,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.0023600868000357876
bgmaps,AR0505SR.map,353848,1.0,False,7808,3658,27408,0,97,122.92388155425107,122.92388153,True,0.015449843799979135
sc1,Elderlands.map,537867,5.0,True,4346,1408,10169,227,718,907.9524522540011,887.18289947,False,0.013916664400130684
sc1,IceFloes.map,525488,10.0,True,41839,28755,217864,22725,528,639.666088965484,600.79603119,False,0.10571923600000446
